Group_1,Date_Time,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,Point,latitude,longitude
27,2019-07-08 13:15:35,0.08342623,27.17539344,516.1295082,0.134590164,0.622622951,1.094098361,1.123442623,6.074918033,11.22377049,32.22180328,199.995082,15.86393443,8.950491803,0.118360656,27,43.10896,-89.42012
28,2019-07-08 13:24:10,0.04142623,28.12455738,514.3131148,0.102786885,0.490163934,0.650983607,0.659672131,4.069508197,11.16409836,32.04967213,220.3639344,17.1904918,8.980163934,0.058557377,28,43.11237,-89.43612
29,2019-07-08 13:29:08,0.049967213,27.59939344,515.8508197,0.057540984,0.307540984,0.359672131,0.354590164,2.679344262,11.67672131,33.52213115,202.3852459,15.93442623,8.936065574,0.070819672,29,43.11417,-89.43894
30,2019-07-08 13:37:45,-0.01442623,27.34531148,516.8491803,0.102131148,0.487868852,0.787213115,0.801639344,4.821967213,12.04180328,34.56557377,190.2344262,15.0457377,8.910327869,-0.020360656,30,43.12123,-89.42665
31,2019-07-08 13:45:30,0.052819672,27.10370492,515.7737705,0.081147541,0.401639344,0.379672131,0.376557377,2.886721311,12.28557377,35.26639344,195.1852459,15.50557377,8.941147541,0.074901639,31,43.11646,-89.41807
32,2019-07-08 12:59:15,0.127540984,26.83216393,514.1786885,0.150819672,0.683114754,1.356721311,1.396229508,7.116885246,11.64147541,33.41770492,205.4393443,16.39885246,8.97,0.180885246,32,43.12079,-89.40754
33,2019-07-08 12:50:40,0.061655738,26.30614754,521.9081967,0.072295082,0.367540984,0.424590164,0.42295082,3.366229508,11.97377049,34.37131148,162.5770492,13.09836066,8.811639344,0.087295082,33,43.12014,-89.38985
34,2019-07-08 12:43:54,0.064557377,25.79837705,528.5655738,0.060327869,0.318196721,0.121147541,0.10557377,1.666885246,11.48803279,32.97967213,130.7967213,10.63655738,8.603606557,0.091459016,34,43.12268,-89.38096
35,2019-07-08 13:52:40,0.056885246,26.44096721,514.352459,0.126393443,0.586557377,1.036229508,1.062131148,4.723114754,13.2004918,37.88786885,189.0540984,15.19704918,8.910491803,0.08052459,35,43.12395,-89.41475
1,2019-07-13 09:47:10,0.141885246,26.04618033,472.1918033,0.103606557,0.491803279,0.640491803,0.647868852,3.454262295,11.68934426,33.55704918,195.1786885,15.80409836,8.795409836,0.201278689,1,43.08543,-89.41315
2,2019-07-13 09:53:36,0.160344262,26.21195082,472.0016393,0.11295082,0.530163934,0.629672131,0.636393443,3.149180328,11.4752459,32.94393443,198.7311475,16.04459016,8.803442623,0.227262295,2,43.0569,-89.4096
3,2019-07-13 10:00:09,0.131,26.6962459,469.0295082,0.10295082,0.487540984,0.363278689,0.359180328,2.259180328,11.06245902,31.75868852,200.2459016,16.0247541,8.791311475,0.185655738,3,43.08107,-89.398
4,2019-07-13 10:06:29,0.112918033,26.74567213,468.7032787,0.080163934,0.400327869,0.386885246,0.383770492,2.240163934,10.94901639,31.43295082,199.8114754,15.97557377,8.806885246,0.160147541,4,43.08919,-89.38398
5,2019-07-13 10:15:10,0.069262295,26.93211475,470.6655738,0.059508197,0.316721311,0.267868852,0.259672131,1.855737705,10.9452459,31.42262295,192.4491803,15.33540984,8.78,0.098081967,5,43.09798,-89.3611
6,2019-07-13 10:22:56,0.067754098,26.37093443,471.9295082,0.09295082,0.449344262,0.399016393,0.396393443,2.64557377,12.22770492,35.09655738,199.2721311,16.04147541,8.80147541,0.096081967,6,43.09433,-89.39827
8,2019-07-13 10:42:56,0.072098361,26.25811475,476.0754098,0.077540984,0.388032787,0.798196721,0.813442623,4.221147541,11.62360656,33.36836066,209.2557377,16.87819672,8.842295082,0.102196721,8,43.09025,-89.4245
9,2019-07-13 10:48:55,0.068278689,26.33840984,477.7131148,0.090819672,0.441639344,0.733606557,0.746229508,3.623114754,11.56459016,33.19786885,201.847541,16.25721311,8.832459016,0.096836066,9,43.09762,-89.43055
10,2019-07-13 10:55:27,0.111491803,26.26190164,478.6163934,0.063114754,0.329016393,0.500819672,0.502459016,2.746065574,11.43557377,32.82803279,198.3819672,15.9995082,8.817377049,0.158081967,10,43.09683,-89.44015
11,2019-07-13 11:05:36,0.168885246,25.59786885,486.5459016,0.110163934,0.520819672,0.942786885,0.963606557,4.03852459,11.83180328,33.96672131,185.6016393,15.15016393,8.812786885,0.239459016,11,43.09492,-89.45565
12,2019-07-13 11:21:22,0.141196721,25.28293443,491.7377049,0.087377049,0.429344262,0.71147541,0.722622951,4.241967213,12.11180328,34.76606557,166.8459016,13.69737705,8.71,0.200278689,12,43.09656,-89.47102
13,2019-07-13 11:13:49,0.169442623,25.97778689,415.2459016,0.082786885,0.410327869,0.521639344,0.525081967,3.978688525,9.679016393,27.79442623,193.3590164,15.67622951,8.82,0.240213115,13,43.08604,-89.46796
14,2019-07-13 11:29:06,0.148704918,24.99765574,493.1622951,0.113934426,0.533114754,0.863606557,0.881803279,5.66295082,12.43442623,35.69147541,162.295082,13.3952459,8.682459016,0.210983607,14,43.09763,-89.47709
15,2019-07-13 11:37:40,0.178655738,24.67114754,501.1196721,0.081147541,0.403770492,0.532622951,0.536229508,3.845737705,13.16360656,37.78147541,137.1016393,11.38393443,8.536557377,0.253360656,15,43.1004,-89.48118
16,2019-07-13 11:43:52,0.096032787,25.56809836,489.1836066,0.13295082,0.611803279,1.31442623,1.352459016,5.01,12.20098361,35.02032787,183.3967213,14.97934426,8.781311475,0.136213115,16,43.10091,-89.46186
17,2019-07-13 11:49:48,0.166344262,25.7415082,488.7360656,0.117868852,0.550327869,1.116393443,1.145081967,5.72147541,12.10819672,34.75819672,187.0032787,15.22606557,8.795901639,0.235983607,17,43.10163,-89.45349
